Model,MDO3104
Firmware Version,1.26

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,0.0002,,
Horizontal Delay,0.000892,,
Sample Interval,2e-07,,
Record Length,10000,,
Gating,0.0% to 100.0%,,
Probe Attenuation,1,1,1
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,1,0.1,0.02
Vertical Position,-0.04,-5,-0.22
,,,
,,,
,,,
Label,,,
TIME,CH1,CH2,CH3
-1.0800e-04,-0.04,inf,-0.0004
-1.0780e-04,-0.08,inf,0.002
-1.0760e-04,-0.08,inf,-0.006
-1.0740e-04,-0.08,inf,-0.0012
-1.0720e-04,-0.08,inf,-0.0044
-1.0700e-04,-0.08,inf,0.0028
-1.0680e-04,-0.16,inf,-0.0028
-1.0660e-04,-0.08,inf,0.0012
-1.0640e-04,-0.08,inf,-0.0044
-1.0620e-04,-0.12,inf,0.0036
-1.0600e-04,-0.12,inf,-0.0028
-1.0580e-04,0,inf,-0.002
-1.0560e-04,-0.08,inf,-0.0052
-1.0540e-04,-0.12,inf,0.0036
-1.0520e-04,-0.12,inf,-0.002
-1.0500e-04,-0.08,inf,0.0036
-1.0480e-04,-0.12,inf,-0.0036
-1.0460e-04,-0.04,inf,0.0012
-1.0440e-04,-0.08,inf,-0.0052
-1.0420e-04,-0.08,inf,0.0036
-1.0400e-04,-0.16,inf,-0.0068
-1.0380e-04,-0.08,inf,0.0036
-1.0360e-04,-0.12,inf,-0.002
-1.0340e-04,-0.12,inf,0.0052
-1.0320e-04,-0.12,inf,-0.0036
-1.0300e-04,-0.12,inf,0.0004
-1.0280e-04,-0.08,inf,-0.0052
-1.0260e-04,-0.08,inf,-0.0012
-1.0240e-04,-0.12,inf,-0.0052
-1.0220e-04,-0.08,inf,0.0004
-1.0200e-04,-0.04,inf,-0.0028
-1.0180e-04,-0.12,inf,0.002
-1.0160e-04,-0.08,inf,0.002
-1.0140e-04,-0.08,inf,0.0012
-1.0120e-04,-0.04,inf,-0.0012
-1.0100e-04,-0.04,inf,-0.0044
-1.0080e-04,-0.08,inf,-0.0028
-1.0060e-04,-0.08,inf,-0.0028
-1.0040e-04,-0.08,inf,-0.0028
-1.0020e-04,-0.16,inf,-0.0028
-1.0000e-04,-0.08,inf,0.002
-9.9800e-05,-0.04,inf,-0.0004
-9.9600e-05,-0.08,inf,0.002
-9.9400e-05,-0.08,inf,-0.0028
-9.9200e-05,-0.12,inf,-0.0028
-9.9000e-05,-0.08,inf,-0.0044
-9.8800e-05,-0.08,inf,-0.0012
-9.8600e-05,-0.08,inf,0.0004
-9.8400e-05,-0.08,inf,0.0004
-9.8200e-05,-0.04,inf,0.0004
-9.8000e-05,-0.08,inf,0.002
-9.7800e-05,-0.04,inf,-0.0004
-9.7600e-05,-0.04,inf,-0.0012
-9.7400e-05,-0.12,inf,-0.0068
-9.7200e-05,-0.08,inf,-0.0012
-9.7000e-05,-0.04,inf,-0.0036
-9.6800e-05,-0.08,inf,0.0012
-9.6600e-05,-0.12,inf,-0.0044
-9.6400e-05,-0.04,inf,0.002
-9.6200e-05,-0.04,inf,-0.0012
-9.6000e-05,-0.08,inf,0.0028
